id_pedido,id_usuario,fecha_hora_pedido,pais,dispositivo,fuente_referencia,nombre_producto,categoria_producto,cantidad,precio_unitario,monto_descuento,monto_total,customer_type
order_0,user_6993,2025-05-22,ARGENTINA,DESKTOP,ORGANIC,JACKET-WINTER-M,MODA,2,332.69,0.0,665.37,RETAIL
order_1,user_1329,2025-06-15,MEXICO,DESKTOP,PAID_SEARCH,TABLET-STANDARD-64GB,ELECTRONICA,1,176.86,5.0,171.86,RETAIL
order_2,user_3194,2025-05-02,ARGENTINA,DESKTOP,SOCIAL,BLENDER-XL-RED,HOGAR,2,102.99,10.0,195.99,RETAIL
order_3,user_4510,2025-06-09,COLOMBIA,MOBILE,SOCIAL,TABLET-STANDARD-64GB,ELECTRONICA,1,257.87,15.0,242.87,RETAIL
order_4,user_5044,2025-03-30,ARGENTINA,DESKTOP,PAID_SEARCH,BLENDER-XL-RED,HOGAR,1,336.28,0.0,336.28,RETAIL
order_5,user_2792,2025-04-22,MEXICO,DESKTOP,ORGANIC,TABLET-STANDARD-64GB,ELECTRONICA,1,179.34,0.0,179.34,RETAIL
order_6,user_2802,2025-03-15,COLOMBIA,MOBILE,ORGANIC,BLENDER-XL-RED,HOGAR,2,163.59,0.0,327.19,RETAIL
order_7,user_1083,2025-05-01,MEXICO,DESKTOP,ORGANIC,TABLET-STANDARD-64GB,ELECTRONICA,2,373.68,0.0,747.35,RETAIL
order_8,user_2352,2025-03-01,ARGENTINA,DESKTOP,PAID_SEARCH,LAPTOP-GAMING-16GB,ELECTRONICA,2,477.27,5.0,949.54,RETAIL
order_9,user_7001,2025-05-31,MEXICO,MOBILE,ORGANIC,SNEAKERS-URBAN-42,MODA,1,339.3,5.0,334.3,RETAIL
order_10,user_3960,2025-03-28,MEXICO,MOBILE,ORGANIC,PHONE-PRO-128GB,ELECTRONICA,1,292.14,0.0,292.14,RETAIL
order_11,user_3547,2025-06-18,COLOMBIA,DESKTOP,SOCIAL,PHONE-PRO-128GB,ELECTRONICA,1,231.74,0.0,231.74,RETAIL
order_12,user_6810,2025-03-17,COLOMBIA,MOBILE,SOCIAL,JACKET-WINTER-M,MODA,1,499.48,5.0,494.48,RETAIL
order_13,user_3170,2025-04-10,COLOMBIA,DESKTOP,ORGANIC,JACKET-WINTER-M,MODA,1,496.94,0.0,496.94,RETAIL
order_14,user_6516,2025-06-22,COLOMBIA,DESKTOP,SOCIAL,VACUUM-PRO-BLACK,HOGAR,1,400.92,5.0,395.92,RETAIL
order_15,user_1500,2025-04-03,COLOMBIA,MOBILE,ORGANIC,JACKET-WINTER-M,MODA,2,373.47,0.0,746.94,RETAIL
order_16,user_3710,2025-02-11,COLOMBIA,MOBILE,SOCIAL,LAPTOP-GAMING-16GB,ELECTRONICA,2,355.07,10.0,700.14,RETAIL
order_17,user_3458,2025-03-14,MEXICO,MOBILE,PAID_SEARCH,SNEAKERS-URBAN-42,MODA,2,308.41,0.0,616.82,RETAIL
order_18,user_7316,2025-01-23,MEXICO,MOBILE,SOCIAL,PHONE-PRO-128GB,ELECTRONICA,2,180.64,5.0,356.27,RETAIL
order_19,user_7190,2025-02-03,ARGENTINA,MOBILE,SOCIAL,JACKET-WINTER-M,MODA,2,45.86,0.0,91.72,RETAIL
order_20,user_396,2025-02-10,ARGENTINA,MOBILE,ORGANIC,TABLET-STANDARD-64GB,ELECTRONICA,2,489.11,10.0,968.23,RETAIL
order_21,user_6296,2025-01-26,MEXICO,DESKTOP,PAID_SEARCH,BLENDER-XL-RED,HOGAR,2,203.26,0.0,406.51,RETAIL
order_22,user_423,2025-05-07,MEXICO,DESKTOP,PAID_SEARCH,VACUUM-PRO-BLACK,HOGAR,2,418.56,0.0,837.12,RETAIL
order_23,user_3623,2025-02-23,COLOMBIA,DESKTOP,ORGANIC,JACKET-WINTER-M,MODA,2,487.85,5.0,970.71,RETAIL
order_24,user_458,2025-01-05,COLOMBIA,DESCONOCIDO,ORGANIC,SNEAKERS-URBAN-42,MODA,2,117.99,0.0,235.99,RETAIL
order_25,user_540,2025-03-08,ARGENTINA,DESCONOCIDO,SOCIAL,VACUUM-PRO-BLACK,HOGAR,1,183.5,5.0,178.5,RETAIL
order_26,user_1951,2025-02-10,COLOMBIA,DESCONOCIDO,ORGANIC,BLENDER-XL-RED,HOGAR,1,331.52,15.0,316.52,RETAIL
order_27,user_5410,2025-05-09,COLOMBIA,DESCONOCIDO,PAID_SEARCH,PHONE-PRO-128GB,ELECTRONICA,2,449.48,5.0,893.96,RETAIL
order_28,user_1489,2025-01-17,MEXICO,DESCONOCIDO,SOCIAL,PHONE-PRO-128GB,ELECTRONICA,1,60.7,10.0,50.7,RETAIL
order_29,user_5197,2025-01-30,COLOMBIA,DESCONOCIDO,SOCIAL,PHONE-PRO-128GB,ELECTRONICA,1,381.57,0.0,381.57,RETAIL
order_30,user_5386,2025-01-31,MEXICO,DESCONOCIDO,SOCIAL,VACUUM-PRO-BLACK,HOGAR,1,183.74,10.0,173.74,RETAIL
order_31,user_5766,2025-05-05,COLOMBIA,DESCONOCIDO,PAID_SEARCH,VACUUM-PRO-BLACK,HOGAR,1,480.74,0.0,480.74,RETAIL
order_32,user_4400,2025-03-29,MEXICO,DESCONOCIDO,SOCIAL,TABLET-STANDARD-64GB,ELECTRONICA,1,117.69,0.0,117.69,RETAIL
order_33,user_5070,2025-01-12,ARGENTINA,DESCONOCIDO,PAID_SEARCH,TABLET-STANDARD-64GB,ELECTRONICA,1,96.82,10.0,86.82,RETAIL
order_34,user_579,2025-05-23,MEXICO,DESCONOCIDO,SOCIAL,SNEAKERS-URBAN-42,MODA,1,174.85,0.0,174.85,RETAIL
order_35,user_3817,2025-02-08,MEXICO,DESCONOCIDO,ORGANIC,BLENDER-XL-RED,HOGAR,2,467.34,5.0,929.69,RETAIL
order_36,user_28,2025-05-12,COLOMBIA,DESCONOCIDO,PAID_SEARCH,SNEAKERS-URBAN-42,MODA,2,136.4,15.0,257.79,RETAIL
order_37,user_6345,2025-01-27,COLOMBIA,DESCONOCIDO,PAID_SEARCH,SNEAKERS-URBAN-42,MODA,1,429.26,5.0,424.26,RETAIL
order_38,user_4024,2025-04-23,ARGENTINA,DESCONOCIDO,ORGANIC,PHONE-PRO-128GB,ELECTRONICA,2,115.96,5.0,226.92,RETAIL
order_39,user_7855,2025-01-29,COLOMBIA,DESCONOCIDO,PAID_SEARCH,BLENDER-XL-RED,HOGAR,1,58.16,0.0,58.16,RETAIL
order_40,user_6891,2025-06-06,MEXICO,DESCONOCIDO,SOCIAL,VACUUM-PRO-BLACK,HOGAR,2,319.28,0.0,638.56,RETAIL
order_41,user_2963,2025-01-27,MEXICO,DESCONOCIDO,SOCIAL,JACKET-WINTER-M,MODA,2,37.77,10.0,65.53,RETAIL
order_42,user_3944,2025-01-11,MEXICO,DESCONOCIDO,SOCIAL,SNEAKERS-URBAN-42,MODA,1,253.63,5.0,248.63,RETAIL
order_43,user_6949,2025-02-12,COLOMBIA,DESCONOCIDO,SOCIAL,LAPTOP-GAMING-16GB,ELECTRONICA,1,415.13,0.0,415.13,RETAIL
